Order_ID,Order_Date,Process_Path,Process_Step,Duration_Minutes,Employees,Hourly_Wage,Units_Processed,Target_Time,Status
ORD-004,2026-08-02,Standard Order,Packing,5.5,1,20.0,14,4.5,Completed
ORD-004,2026-08-02,Standard Order,Labeling,1.7,1,20.0,14,1.5,Completed
ORD-004,2026-08-02,Standard Order,Staging for Shipment,2.3,1,20.0,14,2.0,Completed
ORD-005,2026-08-06,Standard Order,Order Received,1.6,1,20.0,12,1.5,Completed
ORD-005,2026-08-06,Standard Order,Item Picking,7.7,1,20.0,12,7.0,Completed
ORD-005,2026-08-06,Standard Order,Quality Check,2.3,1,20.0,12,2.5,Completed
ORD-005,2026-08-06,Standard Order,Packing,4.8,1,20.0,12,4.5,Completed
ORD-005,2026-08-06,Standard Order,Labeling,1.6,1,20.0,12,1.5,Completed
ORD-005,2026-08-06,Standard Order,Staging for Shipment,1.8,1,20.0,12,2.0,Completed
ORD-006,2026-08-11,Standard Order,Order Received,1.1,1,20.0,7,1.5,Completed
ORD-006,2026-08-11,Standard Order,Item Picking,4.8,1,20.0,7,7.0,Completed
ORD-006,2026-08-11,Standard Order,Quality Check,2.0,1,20.0,7,2.5,Completed
ORD-006,2026-08-11,Standard Order,Packing,3.8,1,20.0,7,4.5,Completed
ORD-006,2026-08-11,Standard Order,Labeling,1.3,1,20.0,7,1.5,Completed
ORD-006,2026-08-11,Standard Order,Staging for Shipment,1.6,1,20.0,7,2.0,Completed
ORD-007,2026-08-27,Standard Order,Order Received,1.5,1,20.0,13,1.5,Completed
ORD-007,2026-08-27,Standard Order,Item Picking,8.1,1,20.0,13,7.0,Completed
ORD-007,2026-08-27,Standard Order,Quality Check,2.3,1,20.0,13,2.5,Completed
ORD-007,2026-08-27,Standard Order,Packing,4.5,1,20.0,13,4.5,Completed
ORD-007,2026-08-27,Standard Order,Labeling,1.4,1,20.0,13,1.5,Completed
ORD-007,2026-08-27,Standard Order,Staging for Shipment,1.9,1,20.0,13,2.0,Completed
ORD-008,2026-08-24,Standard Order,Order Received,1.7,1,20.0,6,1.5,Completed
ORD-008,2026-08-24,Standard Order,Item Picking,5.8,1,20.0,6,7.0,Completed
ORD-008,2026-08-24,Standard Order,Quality Check,2.5,1,20.0,6,2.5,Completed
ORD-008,2026-08-24,Standard Order,Packing,4.3,1,20.0,6,4.5,Completed
ORD-008,2026-08-24,Standard Order,Labeling,1.7,1,20.0,6,1.5,Completed
ORD-008,2026-08-24,Standard Order,Staging for Shipment,2.2,1,20.0,6,2.0,Completed
ORD-009,2026-08-21,Standard Order,Order Received,1.5,1,20.0,6,1.5,Completed
ORD-009,2026-08-21,Standard Order,Item Picking,5.8,1,20.0,6,7.0,Completed
ORD-009,2026-08-21,Standard Order,Quality Check,2.5,1,20.0,6,2.5,Completed
ORD-009,2026-08-21,Standard Order,Packing,4.1,1,20.0,6,4.5,Completed
ORD-009,2026-08-21,Standard Order,Labeling,1.6,1,20.0,6,1.5,Completed
ORD-009,2026-08-21,Standard Order,Staging for Shipment,2.0,1,20.0,6,2.0,Completed
ORD-010,2026-08-21,Standard Order,Order Received,1.5,1,20.0,14,1.5,Completed
ORD-010,2026-08-21,Standard Order,Item Picking,7.7,2,20.0,14,7.0,Completed
ORD-010,2026-08-21,Standard Order,Quality Check,2.8,1,20.0,14,2.5,Completed
ORD-010,2026-08-21,Standard Order,Packing,6.2,1,20.0,14,4.5,Completed
ORD-010,2026-08-21,Standard Order,Labeling,1.7,1,20.0,14,1.5,Completed
ORD-010,2026-08-21,Standard Order,Staging for Shipment,2.4,1,20.0,14,2.0,Completed
ORD-011,2026-08-28,Standard Order,Order Received,1.2,1,20.0,5,1.5,Completed
ORD-011,2026-08-28,Standard Order,Item Picking,4.6,1,20.0,5,7.0,Completed
ORD-011,2026-08-28,Standard Order,Quality Check,2.2,1,20.0,5,2.5,Completed
ORD-011,2026-08-28,Standard Order,Packing,3.6,1,20.0,5,4.5,Completed
ORD-011,2026-08-28,Standard Order,Labeling,1.3,1,20.0,5,1.5,Completed
ORD-011,2026-08-28,Standard Order,Staging for Shipment,1.8,1,20.0,5,2.0,Completed
ORD-012,2026-08-10,Standard Order,Order Received,1.6,1,20.0,10,1.5,Completed
ORD-012,2026-08-10,Standard Order,Item Picking,5.9,1,20.0,10,7.0,Completed
ORD-012,2026-08-10,Standard Order,Quality Check,2.4,1,20.0,10,2.5,Completed
ORD-012,2026-08-10,Standard Order,Packing,4.1,1,20.0,10,4.5,Completed
ORD-012,2026-08-10,Standard Order,Labeling,1.4,1,20.0,10,1.5,Completed
ORD-012,2026-08-10,Standard Order,Staging for Shipment,2.4,1,20.0,10,2.0,Completed
ORD-013,2026-08-11,Standard Order,Order Received,1.6,1,20.0,9,1.5,Completed
ORD-013,2026-08-11,Standard Order,Item Picking,7.4,1,20.0,9,7.0,Completed
ORD-013,2026-08-11,Standard Order,Quality Check,2.6,1,20.0,9,2.5,Completed
ORD-013,2026-08-11,Standard Order,Packing,4.6,1,20.0,9,4.5,Completed
ORD-013,2026-08-11,Standard Order,Labeling,1.7,1,20.0,9,1.5,Completed
ORD-013,2026-08-11,Standard Order,Staging for Shipment,2.1,1,20.0,9,2.0,Completed
ORD-014,2026-08-29,Standard Order,Order Received,1.3,1,20.0,8,1.5,Completed
ORD-014,2026-08-29,Standard Order,Item Picking,5.4,1,20.0,8,7.0,Completed
ORD-014,2026-08-29,Standard Order,Quality Check,2.1,1,20.0,8,2.5,Completed
ORD-014,2026-08-29,Standard Order,Packing,3.8,1,20.0,8,4.5,Completed
ORD-014,2026-08-29,Standard Order,Labeling,1.4,1,20.0,8,1.5,Completed
ORD-014,2026-08-29,Standard Order,Staging for Shipment,1.9,1,20.0,8,2.0,Completed
ORD-015,2026-08-25,Standard Order,Order Received,1.5,1,20.0,13,1.5,Completed
ORD-015,2026-08-25,Standard Order,Item Picking,6.0,2,20.0,13,7.0,Completed
ORD-015,2026-08-25,Standard Order,Quality Check,2.7,1,20.0,13,2.5,Completed
ORD-015,2026-08-25,Standard Order,Packing,4.9,1,20.0,13,4.5,Completed
ORD-015,2026-08-25,Standard Order,Labeling,1.7,1,20.0,13,1.5,Completed
ORD-015,2026-08-25,Standard Order,Staging for Shipment,2.0,1,20.0,13,2.0,Completed
ORD-016,2026-08-14,Standard Order,Order Received,1.6,1,20.0,13,1.5,Completed
ORD-016,2026-08-14,Standard Order,Item Picking,5.7,2,20.0,13,7.0,Completed
ORD-016,2026-08-14,Standard Order,Quality Check,3.2,1,20.0,13,2.5,Completed
ORD-016,2026-08-14,Standard Order,Packing,5.5,1,20.0,13,4.5,Completed
ORD-016,2026-08-14,Standard Order,Labeling,1.6,1,20.0,13,1.5,Completed
ORD-016,2026-08-14,Standard Order,Staging for Shipment,1.9,1,20.0,13,2.0,Completed
ORD-017,2026-08-17,Standard Order,Order Received,1.6,1,20.0,12,1.5,Completed
ORD-017,2026-08-17,Standard Order,Item Picking,8.4,1,20.0,12,7.0,Completed
ORD-017,2026-08-17,Standard Order,Quality Check,2.7,1,20.0,12,2.5,Completed
ORD-017,2026-08-17,Standard Order,Packing,4.7,1,20.0,12,4.5,Completed
ORD-017,2026-08-17,Standard Order,Labeling,1.7,1,20.0,12,1.5,Completed
ORD-017,2026-08-17,Standard Order,Staging for Shipment,1.9,1,20.0,12,2.0,Completed
ORD-018,2026-08-06,Standard Order,Order Received,1.4,1,20.0,12,1.5,Completed
ORD-018,2026-08-06,Standard Order,Item Picking,7.5,1,20.0,12,7.0,Completed
ORD-018,2026-08-06,Standard Order,Quality Check,2.5,1,20.0,12,2.5,Completed
ORD-018,2026-08-06,Standard Order,Packing,4.3,1,20.0,12,4.5,Completed
ORD-018,2026-08-06,Standard Order,Labeling,1.4,1,20.0,12,1.5,Completed
ORD-018,2026-08-06,Standard Order,Staging for Shipment,1.8,1,20.0,12,2.0,Completed
ORD-019,2026-08-25,Standard Order,Order Received,1.7,1,20.0,11,1.5,Completed
ORD-019,2026-08-25,Standard Order,Item Picking,8.9,1,20.0,11,7.0,Completed
ORD-019,2026-08-25,Standard Order,Quality Check,2.8,1,20.0,11,2.5,Completed
ORD-019,2026-08-25,Standard Order,Packing,4.9,1,20.0,11,4.5,Completed
ORD-019,2026-08-25,Standard Order,Labeling,1.8,1,20.0,11,1.5,Completed
ORD-019,2026-08-25,Standard Order,Staging for Shipment,2.2,1,20.0,11,2.0,Completed
ORD-020,2026-08-28,Standard Order,Order Received,1.7,1,20.0,12,1.5,Completed
ORD-020,2026-08-28,Standard Order,Item Picking,6.5,2,20.0,12,7.0,Completed
ORD-020,2026-08-28,Standard Order,Quality Check,3.2,1,20.0,12,2.5,Completed
ORD-020,2026-08-28,Standard Order,Packing,5.7,1,20.0,12,4.5,Completed
ORD-020,2026-08-28,Standard Order,Labeling,1.6,1,20.0,12,1.5,Completed
ORD-020,2026-08-28,Standard Order,Staging for Shipment,2.1,1,20.0,12,2.0,Completed
ORD-021,2026-08-06,Standard Order,Order Received,1.7,1,20.0,13,1.5,Completed
ORD-021,2026-08-06,Standard Order,Item Picking,9.3,1,20.0,13,7.0,Completed
ORD-021,2026-08-06,Standard Order,Quality Check,3.3,1,20.0,13,2.5,Completed
ORD-021,2026-08-06,Standard Order,Packing,4.1,2,20.0,13,4.5,Completed
ORD-021,2026-08-06,Standard Order,Labeling,1.7,1,20.0,13,1.5,Completed
ORD-021,2026-08-06,Standard Order,Staging for Shipment,2.4,1,20.0,13,2.0,Completed
ORD-022,2026-08-28,Standard Order,Order Received,1.6,1,20.0,9,1.5,Completed
ORD-022,2026-08-28,Standard Order,Item Picking,7.8,1,20.0,9,7.0,Completed
ORD-022,2026-08-28,Standard Order,Quality Check,2.6,1,20.0,9,2.5,Completed
ORD-022,2026-08-28,Standard Order,Packing,4.9,1,20.0,9,4.5,Completed
ORD-022,2026-08-28,Standard Order,Labeling,1.7,1,20.0,9,1.5,Completed
ORD-022,2026-08-28,Standard Order,Staging for Shipment,2.4,1,20.0,9,2.0,Completed
ORD-023,2026-08-12,Standard Order,Order Received,1.5,1,20.0,8,1.5,Completed
ORD-023,2026-08-12,Standard Order,Item Picking,7.7,1,20.0,8,7.0,Completed
ORD-023,2026-08-12,Standard Order,Quality Check,2.8,1,20.0,8,2.5,Completed
ORD-023,2026-08-12,Standard Order,Packing,5.3,1,20.0,8,4.5,Completed
ORD-023,2026-08-12,Standard Order,Labeling,1.7,1,20.0,8,1.5,Completed
ORD-023,2026-08-12,Standard Order,Staging for Shipment,2.6,1,20.0,8,2.0,Completed
ORD-024,2026-08-02,Standard Order,Order Received,1.6,1,20.0,12,1.5,Completed
ORD-024,2026-08-02,Standard Order,Item Picking,5.3,2,20.0,12,7.0,Completed
ORD-024,2026-08-02,Standard Order,Quality Check,2.3,1,20.0,12,2.5,Completed
ORD-024,2026-08-02,Standard Order,Packing,4.5,1,20.0,12,4.5,Completed
ORD-024,2026-08-02,Standard Order,Labeling,1.5,1,20.0,12,1.5,Completed
ORD-024,2026-08-02,Standard Order,Staging for Shipment,2.1,1,20.0,12,2.0,Completed
ORD-025,2026-08-24,Standard Order,Order Received,1.7,1,20.0,12,1.5,Completed
ORD-025,2026-08-24,Standard Order,Item Picking,6.1,2,20.0,12,7.0,Completed
ORD-025,2026-08-24,Standard Order,Quality Check,2.5,1,20.0,12,2.5,Completed
ORD-025,2026-08-24,Standard Order,Packing,5.4,1,20.0,12,4.5,Completed
ORD-025,2026-08-24,Standard Order,Labeling,1.4,1,20.0,12,1.5,Completed
ORD-025,2026-08-24,Standard Order,Staging for Shipment,2.2,1,20.0,12,2.0,Completed
ORD-026,2026-08-13,Standard Order,Order Received,1.4,1,20.0,15,1.5,Completed
ORD-026,2026-08-13,Standard Order,Item Picking,6.4,2,20.0,15,7.0,Completed
ORD-026,2026-08-13,Standard Order,Quality Check,2.5,1,20.0,15,2.5,Completed
ORD-026,2026-08-13,Standard Order,Packing,5.0,1,20.0,15,4.5,Completed
ORD-026,2026-08-13,Standard Order,Labeling,1.3,1,20.0,15,1.5,Completed
ORD-026,2026-08-13,Standard Order,Staging for Shipment,1.9,1,20.0,15,2.0,Completed
ORD-027,2026-08-20,Standard Order,Order Received,1.7,1,20.0,10,1.5,Completed
ORD-027,2026-08-20,Standard Order,Item Picking,7.0,1,20.0,10,7.0,Completed
ORD-027,2026-08-20,Standard Order,Quality Check,2.7,1,20.0,10,2.5,Completed
ORD-027,2026-08-20,Standard Order,Packing,5.3,1,20.0,10,4.5,Completed
ORD-027,2026-08-20,Standard Order,Labeling,1.7,1,20.0,10,1.5,Completed
ORD-027,2026-08-20,Standard Order,Staging for Shipment,2.2,1,20.0,10,2.0,Completed
ORD-028,2026-08-28,Standard Order,Order Received,1.5,1,20.0,12,1.5,Completed
ORD-028,2026-08-28,Standard Order,Item Picking,8.5,1,20.0,12,7.0,Completed
ORD-028,2026-08-28,Standard Order,Quality Check,2.7,1,20.0,12,2.5,Completed
ORD-028,2026-08-28,Standard Order,Packing,5.8,1,20.0,12,4.5,Completed
ORD-028,2026-08-28,Standard Order,Labeling,1.5,1,20.0,12,1.5,Completed
ORD-028,2026-08-28,Standard Order,Staging for Shipment,2.2,1,20.0,12,2.0,Completed
ORD-029,2026-08-20,Standard Order,Order Received,1.8,1,20.0,6,1.5,Completed
ORD-029,2026-08-20,Standard Order,Item Picking,6.9,1,20.0,6,7.0,Completed
ORD-029,2026-08-20,Standard Order,Quality Check,3.0,1,20.0,6,2.5,Completed
ORD-029,2026-08-20,Standard Order,Packing,4.7,1,20.0,6,4.5,Completed
ORD-029,2026-08-20,Standard Order,Labeling,1.9,1,20.0,6,1.5,Completed
ORD-029,2026-08-20,Standard Order,Staging for Shipment,2.2,1,20.0,6,2.0,Completed
ORD-030,2026-08-30,Standard Order,Order Received,1.4,1,20.0,11,1.5,Completed
ORD-030,2026-08-30,Standard Order,Item Picking,7.7,1,20.0,11,7.0,Completed
ORD-030,2026-08-30,Standard Order,Quality Check,2.4,1,20.0,11,2.5,Completed
ORD-030,2026-08-30,Standard Order,Packing,3.9,1,20.0,11,4.5,Completed
ORD-030,2026-08-30,Standard Order,Labeling,1.4,1,20.0,11,1.5,Completed
ORD-030,2026-08-30,Standard Order,Staging for Shipment,2.0,1,20.0,11,2.0,Completed
ORD-031,2026-08-22,Standard Order,Order Received,1.2,1,20.0,14,1.5,Completed
ORD-031,2026-08-22,Standard Order,Item Picking,7.6,1,20.0,14,7.0,Completed
ORD-031,2026-08-22,Standard Order,Quality Check,2.5,1,20.0,14,2.5,Completed
ORD-031,2026-08-22,Standard Order,Packing,3.6,2,20.0,14,4.5,Completed
ORD-031,2026-08-22,Standard Order,Labeling,1.4,1,20.0,14,1.5,Completed
ORD-031,2026-08-22,Standard Order,Staging for Shipment,2.3,1,20.0,14,2.0,Completed
ORD-032,2026-08-25,Standard Order,Order Received,2.0,1,20.0,11,1.5,Completed
ORD-032,2026-08-25,Standard Order,Item Picking,9.8,1,20.0,11,7.0,Completed
ORD-032,2026-08-25,Standard Order,Quality Check,3.2,1,20.0,11,2.5,Completed
ORD-032,2026-08-25,Standard Order,Packing,6.1,1,20.0,11,4.5,Completed
ORD-032,2026-08-25,Standard Order,Labeling,1.9,1,20.0,11,1.5,Completed
ORD-032,2026-08-25,Standard Order,Staging for Shipment,2.5,1,20.0,11,2.0,Completed
ORD-033,2026-08-27,Standard Order,Order Received,1.6,1,20.0,10,1.5,Completed
ORD-033,2026-08-27,Standard Order,Item Picking,7.7,1,20.0,10,7.0,Completed
ORD-033,2026-08-27,Standard Order,Quality Check,2.6,1,20.0,10,2.5,Completed
ORD-033,2026-08-27,Standard Order,Packing,4.4,1,20.0,10,4.5,Completed
ORD-033,2026-08-27,Standard Order,Labeling,1.8,1,20.0,10,1.5,Completed
ORD-033,2026-08-27,Standard Order,Staging for Shipment,2.3,1,20.0,10,2.0,Completed
ORD-034,2026-08-04,Standard Order,Order Received,1.5,1,20.0,14,1.5,Completed
ORD-034,2026-08-04,Standard Order,Item Picking,8.8,1,20.0,14,7.0,Completed
ORD-034,2026-08-04,Standard Order,Quality Check,2.7,1,20.0,14,2.5,Completed
ORD-034,2026-08-04,Standard Order,Packing,4.3,1,20.0,14,4.5,Completed
ORD-034,2026-08-04,Standard Order,Labeling,1.6,1,20.0,14,1.5,Completed
ORD-034,2026-08-04,Standard Order,Staging for Shipment,2.0,1,20.0,14,2.0,Completed
ORD-035,2026-08-25,Standard Order,Order Received,1.5,1,20.0,10,1.5,Completed
ORD-035,2026-08-25,Standard Order,Item Picking,7.5,1,20.0,10,7.0,Completed
ORD-035,2026-08-25,Standard Order,Quality Check,2.8,1,20.0,10,2.5,Completed
ORD-035,2026-08-25,Standard Order,Packing,5.0,1,20.0,10,4.5,Completed
ORD-035,2026-08-25,Standard Order,Labeling,1.6,1,20.0,10,1.5,Completed
ORD-035,2026-08-25,Standard Order,Staging for Shipment,1.9,1,20.0,10,2.0,Completed
ORD-036,2026-08-30,Standard Order,Order Received,1.5,1,20.0,15,1.5,Completed
ORD-036,2026-08-30,Standard Order,Item Picking,6.3,2,20.0,15,7.0,Completed
ORD-036,2026-08-30,Standard Order,Quality Check,2.7,1,20.0,15,2.5,Completed
ORD-036,2026-08-30,Standard Order,Packing,5.2,1,20.0,15,4.5,Completed
ORD-036,2026-08-30,Standard Order,Labeling,1.7,1,20.0,15,1.5,Completed
ORD-036,2026-08-30,Standard Order,Staging for Shipment,1.8,1,20.0,15,2.0,Completed
ORD-037,2026-08-24,Standard Order,Order Received,1.8,1,20.0,13,1.5,Completed
ORD-037,2026-08-24,Standard Order,Item Picking,10.1,1,20.0,13,7.0,Completed
ORD-037,2026-08-24,Standard Order,Quality Check,3.2,1,20.0,13,2.5,Completed
ORD-037,2026-08-24,Standard Order,Packing,5.6,1,20.0,13,4.5,Completed
ORD-037,2026-08-24,Standard Order,Labeling,1.8,1,20.0,13,1.5,Completed
ORD-037,2026-08-24,Standard Order,Staging for Shipment,2.4,1,20.0,13,2.0,Completed
ORD-038,2026-08-05,Standard Order,Order Received,1.5,1,20.0,13,1.5,Completed
ORD-038,2026-08-05,Standard Order,Item Picking,7.8,1,20.0,13,7.0,Completed
ORD-038,2026-08-05,Standard Order,Quality Check,2.4,1,20.0,13,2.5,Completed
ORD-038,2026-08-05,Standard Order,Packing,4.6,1,20.0,13,4.5,Completed
ORD-038,2026-08-05,Standard Order,Labeling,1.5,1,20.0,13,1.5,Completed
ORD-038,2026-08-05,Standard Order,Staging for Shipment,2.0,1,20.0,13,2.0,Completed
ORD-039,2026-08-20,Standard Order,Order Received,1.6,1,20.0,14,1.5,Completed
ORD-039,2026-08-20,Standard Order,Item Picking,8.7,1,20.0,14,7.0,Completed
ORD-039,2026-08-20,Standard Order,Quality Check,2.6,1,20.0,14,2.5,Completed
ORD-039,2026-08-20,Standard Order,Packing,3.4,2,20.0,14,4.5,Completed
ORD-039,2026-08-20,Standard Order,Labeling,1.5,1,20.0,14,1.5,Completed
ORD-039,2026-08-20,Standard Order,Staging for Shipment,2.3,1,20.0,14,2.0,Completed
ORD-040,2026-08-23,Standard Order,Order Received,1.4,1,20.0,11,1.5,Completed
ORD-040,2026-08-23,Standard Order,Item Picking,7.5,1,20.0,11,7.0,Completed
ORD-040,2026-08-23,Standard Order,Quality Check,2.3,1,20.0,11,2.5,Completed
ORD-040,2026-08-23,Standard Order,Packing,4.3,1,20.0,11,4.5,Completed
ORD-040,2026-08-23,Standard Order,Labeling,1.4,1,20.0,11,1.5,Completed
ORD-040,2026-08-23,Standard Order,Staging for Shipment,1.9,1,20.0,11,2.0,Completed
ORD-041,2026-08-13,Standard Order,Order Received,1.2,1,20.0,5,1.5,Completed
ORD-041,2026-08-13,Standard Order,Item Picking,4.2,1,20.0,5,7.0,Completed
ORD-041,2026-08-13,Standard Order,Quality Check,2.1,1,20.0,5,2.5,Completed
ORD-041,2026-08-13,Standard Order,Packing,3.1,1,20.0,5,4.5,Completed
ORD-041,2026-08-13,Standard Order,Labeling,1.2,1,20.0,5,1.5,Completed
ORD-041,2026-08-13,Standard Order,Staging for Shipment,1.3,1,20.0,5,2.0,Completed
ORD-042,2026-08-29,Standard Order,Order Received,1.3,1,20.0,5,1.5,Completed
ORD-042,2026-08-29,Standard Order,Item Picking,5.7,1,20.0,5,7.0,Completed
ORD-042,2026-08-29,Standard Order,Quality Check,2.4,1,20.0,5,2.5,Completed
ORD-042,2026-08-29,Standard Order,Packing,4.2,1,20.0,5,4.5,Completed
ORD-042,2026-08-29,Standard Order,Labeling,1.7,1,20.0,5,1.5,Completed
ORD-042,2026-08-29,Standard Order,Staging for Shipment,1.8,1,20.0,5,2.0,Completed
ORD-043,2026-08-15,Standard Order,Order Received,1.4,1,20.0,10,1.5,Completed
ORD-043,2026-08-15,Standard Order,Item Picking,6.5,1,20.0,10,7.0,Completed
ORD-043,2026-08-15,Standard Order,Quality Check,2.2,1,20.0,10,2.5,Completed
ORD-043,2026-08-15,Standard Order,Packing,4.0,1,20.0,10,4.5,Completed
ORD-043,2026-08-15,Standard Order,Labeling,1.5,1,20.0,10,1.5,Completed
ORD-043,2026-08-15,Standard Order,Staging for Shipment,1.6,1,20.0,10,2.0,Completed
ORD-044,2026-08-12,Standard Order,Order Received,1.5,1,20.0,11,1.5,Completed
ORD-044,2026-08-12,Standard Order,Item Picking,7.2,1,20.0,11,7.0,Completed
ORD-044,2026-08-12,Standard Order,Quality Check,2.5,1,20.0,11,2.5,Completed
ORD-044,2026-08-12,Standard Order,Packing,4.0,1,20.0,11,4.5,Completed
ORD-044,2026-08-12,Standard Order,Labeling,1.4,1,20.0,11,1.5,Completed
ORD-044,2026-08-12,Standard Order,Staging for Shipment,1.7,1,20.0,11,2.0,Completed
ORD-045,2026-08-19,Standard Order,Order Received,1.8,1,20.0,6,1.5,Completed
ORD-045,2026-08-19,Standard Order,Item Picking,5.1,1,20.0,6,7.0,Completed
ORD-045,2026-08-19,Standard Order,Quality Check,2.6,1,20.0,6,2.5,Completed
ORD-045,2026-08-19,Standard Order,Packing,3.9,1,20.0,6,4.5,Completed
ORD-045,2026-08-19,Standard Order,Labeling,1.6,1,20.0,6,1.5,Completed
ORD-045,2026-08-19,Standard Order,Staging for Shipment,1.9,1,20.0,6,2.0,Completed
ORD-046,2026-08-13,Standard Order,Order Received,1.6,1,20.0,8,1.5,Completed
ORD-046,2026-08-13,Standard Order,Item Picking,5.8,1,20.0,8,7.0,Completed
ORD-046,2026-08-13,Standard Order,Quality Check,2.7,1,20.0,8,2.5,Completed
ORD-046,2026-08-13,Standard Order,Packing,4.5,1,20.0,8,4.5,Completed
ORD-046,2026-08-13,Standard Order,Labeling,1.5,1,20.0,8,1.5,Completed
ORD-046,2026-08-13,Standard Order,Staging for Shipment,2.1,1,20.0,8,2.0,Completed
ORD-047,2026-08-27,Standard Order,Order Received,1.5,1,20.0,13,1.5,Completed
ORD-047,2026-08-27,Standard Order,Item Picking,5.7,2,20.0,13,7.0,Completed
ORD-047,2026-08-27,Standard Order,Quality Check,2.9,1,20.0,13,2.5,Completed
ORD-047,2026-08-27,Standard Order,Packing,3.4,2,20.0,13,4.5,Completed
ORD-047,2026-08-27,Standard Order,Labeling,1.7,1,20.0,13,1.5,Completed
ORD-047,2026-08-27,Standard Order,Staging for Shipment,2.1,1,20.0,13,2.0,Completed
ORD-048,2026-08-12,Standard Order,Order Received,1.7,1,20.0,11,1.5,Completed
ORD-048,2026-08-12,Standard Order,Item Picking,8.9,1,20.0,11,7.0,Completed
ORD-048,2026-08-12,Standard Order,Quality Check,3.0,1,20.0,11,2.5,Completed
ORD-048,2026-08-12,Standard Order,Packing,5.3,1,20.0,11,4.5,Completed
ORD-048,2026-08-12,Standard Order,Labeling,1.6,1,20.0,11,1.5,Completed
ORD-048,2026-08-12,Standard Order,Staging for Shipment,2.4,1,20.0,11,2.0,Completed
ORD-049,2026-08-07,Standard Order,Order Received,1.4,1,20.0,9,1.5,Completed
ORD-049,2026-08-07,Standard Order,Item Picking,5.7,1,20.0,9,7.0,Completed
ORD-049,2026-08-07,Standard Order,Quality Check,2.4,1,20.0,9,2.5,Completed
ORD-049,2026-08-07,Standard Order,Packing,3.9,1,20.0,9,4.5,Completed
ORD-049,2026-08-07,Standard Order,Labeling,1.4,1,20.0,9,1.5,Completed
ORD-049,2026-08-07,Standard Order,Staging for Shipment,2.3,1,20.0,9,2.0,Completed
ORD-050,2026-08-28,Standard Order,Order Received,1.6,1,20.0,5,1.5,Completed
ORD-050,2026-08-28,Standard Order,Item Picking,4.7,1,20.0,5,7.0,Completed
ORD-050,2026-08-28,Standard Order,Quality Check,2.5,1,20.0,5,2.5,Completed
ORD-050,2026-08-28,Standard Order,Packing,4.2,1,20.0,5,4.5,Completed
ORD-050,2026-08-28,Standard Order,Labeling,1.6,1,20.0,5,1.5,Completed
ORD-050,2026-08-28,Standard Order,Staging for Shipment,1.8,1,20.0,5,2.0,Completed
ORD-051,2026-08-02,Standard Order,Order Received,1.4,1,20.0,9,1.5,Completed
ORD-051,2026-08-02,Standard Order,Item Picking,5.9,1,20.0,9,7.0,Completed
ORD-051,2026-08-02,Standard Order,Quality Check,1.9,1,20.0,9,2.5,Completed
ORD-051,2026-08-02,Standard Order,Packing,4.0,1,20.0,9,4.5,Completed
ORD-051,2026-08-02,Standard Order,Labeling,1.4,1,20.0,9,1.5,Completed
ORD-051,2026-08-02,Standard Order,Staging for Shipment,1.8,1,20.0,9,2.0,Completed
ORD-052,2026-08-15,Standard Order,Order Received,1.4,1,20.0,7,1.5,Completed
ORD-052,2026-08-15,Standard Order,Item Picking,6.4,1,20.0,7,7.0,Completed
ORD-052,2026-08-15,Standard Order,Quality Check,2.6,1,20.0,7,2.5,Completed
